名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,氣功士,蘇打冰?,00:04.90,2019.11.09 16:07:52,2019.11.10,第四週
1位,召喚師,?小肥蜂,00:04.90,2019.11.06 16:30:50,2019.11.10,第四週
1位,劍士,葛清霏,00:07.10,2019.11.06 23:45:26,2019.11.10,第四週
1位,弓箭手,未羽?,00:07.40,2019.11.08 22:19:51,2019.11.10,第四週
1位,燐劍士,翻滾喵,00:08.70,2019.11.07 01:22:45,2019.11.10,第四週
1位,鬥士,豆子?,00:10.10,2019.11.06 22:13:17,2019.11.10,第四週
1位,咒術師,?驀回首,00:11.20,2019.11.08 19:14:07,2019.11.10,第四週
1位,拳士,錫蘭,00:11.40,2019.11.07 23:18:07,2019.11.10,第四週
1位,槍擊士,Chu?玉米棒,00:13.30,2019.11.06 14:04:13,2019.11.10,第四週
1位,刺客,浮生若夢?影,00:16.70,2019.11.07 05:15:58,2019.11.10,第四週
1位,力士,?小肥黑,00:18.50,2019.11.08 01:35:01,2019.11.10,第四週
1位,乾坤士,?莓果戀,00:19.70,2019.11.08 15:50:00,2019.11.10,第四週
2位,氣功士,?滴滴,00:06.70,2019.11.08 21:35:44,2019.11.10,第四週
2位,劍士,?禘神祐,00:07.90,2019.11.06 18:30:01,2019.11.10,第四週
2位,召喚師,蘇打糖?,00:09.70,2019.11.08 03:07:45,2019.11.10,第四週
2位,鬥士,鋼劍解師傅,00:10.90,2019.11.06 17:07:32,2019.11.10,第四週
2位,弓箭手,半夏?冰淇淋,00:10.90,2019.11.06 19:47:11,2019.11.10,第四週
2位,咒術師,?小肥玥,00:11.40,2019.11.09 13:49:06,2019.11.10,第四週
2位,拳士,?那個澄,00:11.60,2019.11.09 19:20:35,2019.11.10,第四週
2位,燐劍士,喬寶?,00:14.0,2019.11.09 23:14:04,2019.11.10,第四週
2位,槍擊士,Murie,00:16.20,2019.11.07 02:35:21,2019.11.10,第四週
2位,力士,妃?,00:19.70,2019.11.06 19:52:22,2019.11.10,第四週
2位,乾坤士,崔部長?,00:23.50,2019.11.07 00:16:27,2019.11.10,第四週
2位,刺客,緋紅之影,00:25.10,2019.11.10 00:10:43,2019.11.10,第四週
3位,劍士,天眠,00:07.90,2019.11.07 19:47:58,2019.11.10,第四週
3位,氣功士,銀鍠朱武?,00:09.30,2019.11.07 11:03:42,2019.11.10,第四週
3位,召喚師,乖乖泡泡糖,00:10.0,2019.11.10 03:09:03,2019.11.10,第四週
3位,鬥士,洛碧虛,00:11.50,2019.11.08 21:17:24,2019.11.10,第四週
3位,拳士,班尼菈,00:12.10,2019.11.08 03:16:24,2019.11.10,第四週
3位,弓箭手,漓晞,00:12.20,2019.11.07 17:59:15,2019.11.10,第四週
3位,咒術師,Jesus?,00:12.30,2019.11.09 14:58:52,2019.11.10,第四週
3位,燐劍士,磪有情,00:14.60,2019.11.07 00:27:14,2019.11.10,第四週
3位,槍擊士,古洛,00:16.50,2019.11.07 14:52:43,2019.11.10,第四週
3位,力士,人彘?,00:22.90,2019.11.08 01:40:44,2019.11.10,第四週
3位,乾坤士,不如獨樂,00:24.20,2019.11.07 20:51:56,2019.11.10,第四週
3位,刺客,?變隱龍,00:26.0,2019.11.09 22:44:55,2019.11.10,第四週
4位,劍士,恍惚?,00:08.20,2019.11.09 20:06:42,2019.11.10,第四週
4位,氣功士,HanShuang,00:10.40,2019.11.06 20:15:00,2019.11.10,第四週
4位,鬥士,冰舞魅心?,00:12.0,2019.11.06 19:20:59,2019.11.10,第四週
4位,召喚師,羽熙?歐吼OvOb,00:12.10,2019.11.10 01:08:20,2019.11.10,第四週
4位,拳士,義誠,00:12.80,2019.11.06 13:04:01,2019.11.10,第四週
4位,咒術師,低調?睡?,00:13.30,2019.11.09 01:37:26,2019.11.10,第四週
