名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,召喚師,?小肥蜂,00:05.90,2019.10.23 15:28:02,2019.10.24,第二週
1位,弓箭手,未羽?,00:07.70,2019.10.24 01:29:41,2019.10.24,第二週
1位,劍士,恍惚?,00:08.20,2019.10.23 20:32:47,2019.10.24,第二週
1位,氣功士,?滴滴,00:08.20,2019.10.24 01:33:49,2019.10.24,第二週
1位,鬥士,豆子?,00:10.30,2019.10.23 23:47:18,2019.10.24,第二週
1位,燐劍士,翻滾喵,00:10.40,2019.10.23 13:44:25,2019.10.24,第二週
1位,拳士,錫蘭,00:11.60,2019.10.23 18:50:47,2019.10.24,第二週
1位,咒術師,?驀回首,00:12.0,2019.10.23 15:59:35,2019.10.24,第二週
1位,槍擊士,英靈?,00:14.60,2019.10.23 13:51:07,2019.10.24,第二週
1位,力士,?小肥黑,00:19.0,2019.10.23 20:43:45,2019.10.24,第二週
1位,刺客,緋紅之影,00:24.40,2019.10.24 01:22:22,2019.10.24,第二週
1位,乾坤士,?莓果戀,00:27.30,2019.10.23 13:59:30,2019.10.24,第二週
2位,弓箭手,漓晞,00:08.60,2019.10.23 18:37:09,2019.10.24,第二週
2位,劍士,BestJnK,00:09.90,2019.10.23 18:38:41,2019.10.24,第二週
2位,鬥士,洛碧虛,00:11.0,2019.10.23 18:32:35,2019.10.24,第二週
2位,氣功士,Bauhinia,00:11.40,2019.10.23 16:50:04,2019.10.24,第二週
2位,拳士,蛤仔精,00:12.60,2019.10.23 13:37:42,2019.10.24,第二週
2位,咒術師,低調?睡?,00:15.30,2019.10.23 18:15:37,2019.10.24,第二週
2位,召喚師,幸福伴身旁,00:15.80,2019.10.23 18:36:09,2019.10.24,第二週
2位,燐劍士,?蓋歐卡,00:16.70,2019.10.23 20:58:17,2019.10.24,第二週
2位,槍擊士,Chu?玉米棒,00:19.40,2019.10.23 12:28:59,2019.10.24,第二週
2位,力士,妃?,00:21.80,2019.10.23 14:17:06,2019.10.24,第二週
2位,刺客,兔寶?,00:29.40,2019.10.23 15:38:35,2019.10.24,第二週
2位,乾坤士,多納太羅?啾,00:35.0,2019.10.23 22:03:21,2019.10.24,第二週
3位,劍士,月孤痕,00:10.90,2019.10.24 01:01:06,2019.10.24,第二週
3位,鬥士,冰舞魅心?,00:12.10,2019.10.23 19:27:54,2019.10.24,第二週
3位,拳士,?那個澄,00:12.70,2019.10.23 15:59:21,2019.10.24,第二週
3位,氣功士,昊晟,00:14.80,2019.10.23 13:25:32,2019.10.24,第二週
3位,咒術師,名雪喵喵,00:16.20,2019.10.23 15:02:49,2019.10.24,第二週
3位,召喚師,魂牽夢縈?,00:17.80,2019.10.23 19:08:58,2019.10.24,第二週
3位,槍擊士,?小肥袋,00:20.20,2019.10.23 15:33:43,2019.10.24,第二週
3位,弓箭手,叔叔的小三,00:21.0,2019.10.24 00:26:09,2019.10.24,第二週
3位,燐劍士,88在草原上轉圈圈,00:22.90,2019.10.23 11:12:43,2019.10.24,第二週
3位,力士,八月中秋山林涼,00:25.40,2019.10.23 11:19:18,2019.10.24,第二週
3位,刺客,?變隱龍,00:32.40,2019.10.23 23:58:56,2019.10.24,第二週
3位,乾坤士,克克星,00:40.90,2019.10.23 13:55:43,2019.10.24,第二週
4位,劍士,夕晴,00:11.50,2019.10.23 21:00:51,2019.10.24,第二週
4位,鬥士,鋼劍解師傅,00:12.20,2019.10.23 21:32:54,2019.10.24,第二週
4位,拳士,義誠,00:12.80,2019.10.24 03:31:31,2019.10.24,第二週
4位,氣功士,銀鍠朱武?,00:15.50,2019.10.23 12:21:24,2019.10.24,第二週
4位,咒術師,ZUOAN?奶茶,00:16.40,2019.10.23 23:33:20,2019.10.24,第二週
4位,槍擊士,?小肥?,00:21.20,2019.10.24 01:53:22,2019.10.24,第二週
