名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,召喚師,?小肥蜂,00:04.90,2019.11.06 16:30:50,2019.11.07,第四週
1位,劍士,葛清霏,00:07.10,2019.11.06 23:45:26,2019.11.07,第四週
1位,弓箭手,未羽?,00:07.60,2019.11.06 21:17:07,2019.11.07,第四週
1位,燐劍士,翻滾喵,00:08.70,2019.11.07 01:22:45,2019.11.07,第四週
1位,鬥士,豆子?,00:10.10,2019.11.06 22:13:17,2019.11.07,第四週
1位,氣功士,HanShuang,00:10.40,2019.11.06 20:15:00,2019.11.07,第四週
1位,拳士,?那個澄,00:12.10,2019.11.06 12:43:10,2019.11.07,第四週
1位,咒術師,?驀回首,00:12.20,2019.11.06 11:11:05,2019.11.07,第四週
1位,槍擊士,Chu?玉米棒,00:13.30,2019.11.06 14:04:13,2019.11.07,第四週
1位,刺客,浮生若夢?影,00:16.70,2019.11.07 05:15:58,2019.11.07,第四週
1位,力士,妃?,00:19.70,2019.11.06 19:52:22,2019.11.07,第四週
1位,乾坤士,?莓果戀,00:21.50,2019.11.06 14:17:13,2019.11.07,第四週
2位,劍士,?禘神祐,00:07.90,2019.11.06 18:30:01,2019.11.07,第四週
2位,弓箭手,半夏?冰淇淋,00:10.90,2019.11.06 19:47:11,2019.11.07,第四週
2位,鬥士,鋼劍解師傅,00:10.90,2019.11.06 17:07:32,2019.11.07,第四週
2位,召喚師,乖乖泡泡糖,00:12.10,2019.11.07 01:23:04,2019.11.07,第四週
2位,氣功士,Bauhinia,00:12.50,2019.11.06 18:02:31,2019.11.07,第四週
2位,拳士,義誠,00:12.80,2019.11.06 13:04:01,2019.11.07,第四週
2位,咒術師,菈菈唲,00:13.60,2019.11.06 20:19:15,2019.11.07,第四週
2位,燐劍士,磪有情,00:14.60,2019.11.07 00:27:14,2019.11.07,第四週
2位,槍擊士,Murie,00:16.20,2019.11.07 02:35:21,2019.11.07,第四週
2位,力士,胖胖空,00:23.30,2019.11.06 20:47:35,2019.11.07,第四週
2位,乾坤士,崔部長?,00:23.50,2019.11.07 00:16:27,2019.11.07,第四週
2位,刺客,妲己?狐,00:39.80,2019.11.07 02:08:39,2019.11.07,第四週
3位,劍士,恍惚?,00:08.60,2019.11.06 22:21:15,2019.11.07,第四週
3位,鬥士,冰舞魅心?,00:12.0,2019.11.06 19:20:59,2019.11.07,第四週
3位,弓箭手,?拉媞琺,00:13.30,2019.11.06 20:38:50,2019.11.07,第四週
3位,拳士,金木涼,00:13.70,2019.11.07 05:07:21,2019.11.07,第四週
3位,咒術師,侜張,00:14.40,2019.11.06 20:04:48,2019.11.07,第四週
3位,燐劍士,?小黑糖,00:15.20,2019.11.06 13:34:16,2019.11.07,第四週
3位,召喚師,幸福伴身旁,00:15.30,2019.11.06 22:48:24,2019.11.07,第四週
3位,氣功士,風嵐之翼,00:16.40,2019.11.06 13:34:49,2019.11.07,第四週
3位,槍擊士,古洛,00:17.0,2019.11.06 16:36:56,2019.11.07,第四週
3位,乾坤士,不如獨樂,00:24.40,2019.11.07 01:01:53,2019.11.07,第四週
3位,力士,八月中秋山林涼,00:26.10,2019.11.06 11:51:52,2019.11.07,第四週
3位,刺客,JusticeMem,00:46.80,2019.11.07 00:19:44,2019.11.07,第四週
4位,劍士,月孤痕,00:09.10,2019.11.07 00:55:52,2019.11.07,第四週
4位,鬥士,鴻蒼?,00:12.20,2019.11.06 20:10:58,2019.11.07,第四週
4位,拳士,錫蘭,00:14.0,2019.11.06 23:54:16,2019.11.07,第四週
4位,弓箭手,漓晞,00:15.10,2019.11.07 01:11:18,2019.11.07,第四週
4位,召喚師,紗兒的小豬豬,00:15.50,2019.11.06 20:59:07,2019.11.07,第四週
4位,燐劍士,?蓋歐卡,00:15.60,2019.11.06 12:53:04,2019.11.07,第四週
4位,咒術師,名雪喵喵,00:15.60,2019.11.06 13:01:55,2019.11.07,第四週
4位,氣功士,無關愛情,00:18.10,2019.11.06 18:44:06,2019.11.07,第四週
4位,槍擊士,英靈?,00:18.80,2019.11.06 19:31:31,2019.11.07,第四週
4位,力士,黑雪幸,00:26.40,2019.11.06 23:39:51,2019.11.07,第四週
4位,乾坤士,即白,00:34.10,2019.11.06 18:58:12,2019.11.07,第四週
4位,刺客,狄世,00:49.30,2019.11.07 01:56:59,2019.11.07,第四週
5位,劍士,秋?痕,00:09.50,2019.11.06 17:34:50,2019.11.07,第四週
5位,鬥士,孀笙,00:13.50,2019.11.07 00:32:37,2019.11.07,第四週
5位,拳士,川榷,00:14.30,2019.11.06 17:41:04,2019.11.07,第四週
5位,召喚師,魂牽夢縈?,00:15.80,2019.11.06 19:00:52,2019.11.07,第四週
5位,咒術師,HLHope,00:16.70,2019.11.06 16:48:17,2019.11.07,第四週
5位,燐劍士,88在草原上轉圈圈,00:17.60,2019.11.06 12:03:57,2019.11.07,第四週
5位,槍擊士,?小肥袋,00:20.40,2019.11.06 15:41:56,2019.11.07,第四週
5位,弓箭手,叔叔的小三,00:22.0,2019.11.06 21:51:05,2019.11.07,第四週
5位,力士,芭蒂亞,00:28.30,2019.11.06 22:07:38,2019.11.07,第四週
5位,氣功士,?小肥鏡,00:29.0,2019.11.06 21:33:50,2019.11.07,第四週
5位,乾坤士,Lukaaaa,00:34.50,2019.11.06 13:45:34,2019.11.07,第四週
5位,刺客,戕納,00:52.20,2019.11.06 17:03:52,2019.11.07,第四週
6位,劍士,Sazabi,00:09.60,2019.11.07 01:10:26,2019.11.07,第四週
6位,鬥士,?洛,00:14.10,2019.11.06 20:16:03,2019.11.07,第四週
6位,拳士,Yeon誠,00:16.40,2019.11.06 20:24:13,2019.11.07,第四週
6位,咒術師,小心我丟你,00:17.50,2019.11.06 21:09:32,2019.11.07,第四週
6位,燐劍士,鮮奶茶?,00:17.60,2019.11.07 01:04:30,2019.11.07,第四週
6位,召喚師,點心?,00:21.20,2019.11.06 23:49:44,2019.11.07,第四週
6位,弓箭手,神?,00:27.10,2019.11.07 02:59:33,2019.11.07,第四週
6位,氣功士,芷芸?,00:29.30,2019.11.07 01:34:00,2019.11.07,第四週
6位,力士,奎馗,00:31.40,2019.11.07 01:16:32,2019.11.07,第四週
6位,槍擊士,Woof?,00:34.80,2019.11.06 23:07:00,2019.11.07,第四週
6位,乾坤士,青蘋芙姬,00:42.50,2019.11.06 20:58:53,2019.11.07,第四週
6位,刺客,財政部,00:52.60,2019.11.06 12:21:20,2019.11.07,第四週
7位,劍士,BestJnK,00:10.90,2019.11.06 19:52:07,2019.11.07,第四週
7位,鬥士,別讓羊叔叔輸出,00:14.10,2019.11.06 21:55:04,2019.11.07,第四週
7位,咒術師,?妍,00:18.20,2019.11.06 16:17:09,2019.11.07,第四週
7位,拳士,野比大熊,00:19.70,2019.11.06 11:59:29,2019.11.07,第四週
7位,燐劍士,柒撚懵懵,00:20.50,2019.11.06 19:42:45,2019.11.07,第四週
7位,召喚師,羽熙?歐吼OvOb,00:22.90,2019.11.06 18:55:18,2019.11.07,第四週
7位,力士,西狼GOOD?桃,00:33.40,2019.11.07 00:58:14,2019.11.07,第四週
7位,弓箭手,湧嵐,00:34.20,2019.11.07 00:24:11,2019.11.07,第四週
7位,氣功士,祅賊賊,00:35.90,2019.11.06 21:41:00,2019.11.07,第四週
7位,槍擊士,?青羽梟,00:41.50,2019.11.06 19:10:36,2019.11.07,第四週
7位,刺客,墨淺伊?,00:52.80,2019.11.06 17:13:02,2019.11.07,第四週
7位,乾坤士,再平凡?月依舊限量版,00:54.80,2019.11.06 19:49:06,2019.11.07,第四週
8位,劍士,既分高下也決生死,00:13.90,2019.11.06 23:08:25,2019.11.07,第四週
8位,咒術師,咚踏取蜜,00:19.20,2019.11.07 00:29:39,2019.11.07,第四週
8位,拳士,Yuan爻,00:21.10,2019.11.06 18:54:58,2019.11.07,第四週
8位,鬥士,祤鷹,00:21.80,2019.11.06 21:37:10,2019.11.07,第四週
8位,召喚師,MissXuan,00:25.40,2019.11.06 20:53:06,2019.11.07,第四週
8位,燐劍士,星語雪碧,00:31.50,2019.11.06 19:10:08,2019.11.07,第四週
8位,氣功士,o寒江雪o,00:36.30,2019.11.06 19:38:05,2019.11.07,第四週
8位,力士,語芯妍,00:36.40,2019.11.07 01:48:41,2019.11.07,第四週
8位,弓箭手,茉娜德,00:37.10,2019.11.07 01:48:07,2019.11.07,第四週
8位,槍擊士,蒼瑩,00:43.0,2019.11.06 18:16:18,2019.11.07,第四週
8位,刺客,Aeyko,00:54.40,2019.11.07 02:00:53,2019.11.07,第四週
8位,乾坤士,喵喵蟲咖波,00:59.20,2019.11.06 22:29:48,2019.11.07,第四週
