名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,召喚師,?小肥蜂,00:05.80,2019.10.31 13:58:27,2019.11.02,第三週
1位,氣功士,蘇打冰?,00:07.40,2019.11.02 01:26:21,2019.11.02,第三週
1位,弓箭手,未羽?,00:07.60,2019.10.30 21:58:25,2019.11.02,第三週
1位,劍士,恍惚?,00:08.30,2019.10.30 21:43:20,2019.11.02,第三週
1位,燐劍士,翻滾喵,00:10.40,2019.11.02 02:42:50,2019.11.02,第三週
1位,鬥士,豆子?,00:10.70,2019.10.31 00:06:46,2019.11.02,第三週
1位,拳士,?那個澄,00:11.70,2019.10.30 14:09:09,2019.11.02,第三週
1位,咒術師,?驀回首,00:12.20,2019.10.30 18:56:49,2019.11.02,第三週
1位,力士,?小肥黑,00:17.70,2019.10.30 19:06:04,2019.11.02,第三週
1位,槍擊士,Rafutaria,00:17.90,2019.10.30 21:34:48,2019.11.02,第三週
1位,刺客,浮生若夢?影,00:19.80,2019.11.01 09:10:55,2019.11.02,第三週
1位,乾坤士,?莓果戀,00:24.30,2019.10.31 15:28:32,2019.11.02,第三週
2位,氣功士,?滴滴,00:07.90,2019.11.01 17:02:48,2019.11.02,第三週
2位,劍士,葛清霏,00:09.70,2019.10.31 00:01:18,2019.11.02,第三週
2位,拳士,錫蘭,00:12.0,2019.11.01 00:04:16,2019.11.02,第三週
2位,鬥士,鋼劍解師傅,00:12.0,2019.10.30 11:29:36,2019.11.02,第三週
2位,弓箭手,漓晞,00:12.10,2019.11.01 16:15:05,2019.11.02,第三週
2位,召喚師,乖乖泡泡糖,00:13.30,2019.10.31 02:31:19,2019.11.02,第三週
2位,咒術師,?小肥玥,00:13.80,2019.10.31 23:23:25,2019.11.02,第三週
2位,燐劍士,喬寶?,00:16.0,2019.10.31 23:03:43,2019.11.02,第三週
2位,力士,妃?,00:20.20,2019.10.30 19:22:48,2019.11.02,第三週
2位,槍擊士,?小肥袋,00:20.70,2019.10.30 15:57:30,2019.11.02,第三週
2位,刺客,緋紅之影,00:24.50,2019.11.02 01:02:01,2019.11.02,第三週
2位,乾坤士,不如獨樂,00:30.20,2019.11.01 00:31:06,2019.11.02,第三週
3位,氣功士,銀鍠朱武?,00:08.40,2019.11.01 10:15:33,2019.11.02,第三週
3位,劍士,夕晴,00:09.80,2019.10.31 19:26:24,2019.11.02,第三週
3位,鬥士,冰舞魅心?,00:12.10,2019.10.30 19:17:35,2019.11.02,第三週
3位,拳士,班尼菈,00:12.40,2019.10.31 00:06:12,2019.11.02,第三週
3位,召喚師,魂牽夢縈?,00:15.90,2019.10.31 18:06:40,2019.11.02,第三週
3位,咒術師,名雪喵喵,00:16.0,2019.10.30 12:02:04,2019.11.02,第三週
3位,燐劍士,?蓋歐卡,00:17.80,2019.10.31 19:45:14,2019.11.02,第三週
3位,弓箭手,茶茶射妳,00:20.80,2019.10.30 22:50:57,2019.11.02,第三週
3位,槍擊士,玖伊,00:21.20,2019.11.02 02:49:40,2019.11.02,第三週
3位,力士,八月中秋山林涼,00:25.10,2019.10.31 14:11:48,2019.11.02,第三週
3位,乾坤士,多納太羅?啾,00:32.40,2019.10.31 22:37:20,2019.11.02,第三週
3位,刺客,?變隱龍,00:34.80,2019.10.31 23:55:41,2019.11.02,第三週
4位,劍士,月孤痕,00:10.60,2019.11.01 22:16:05,2019.11.02,第三週
4位,氣功士,Bauhinia,00:11.90,2019.11.02 02:13:06,2019.11.02,第三週
4位,拳士,義誠,00:12.70,2019.10.31 03:51:27,2019.11.02,第三週
4位,鬥士,孀笙,00:13.50,2019.10.30 15:37:36,2019.11.02,第三週
4位,咒術師,ZUOAN?奶茶,00:16.10,2019.11.01 00:21:37,2019.11.02,第三週
4位,燐劍士,88在草原上轉圈圈,00:21.50,2019.10.31 08:38:02,2019.11.02,第三週
4位,召喚師,米勒?,00:21.90,2019.10.31 11:09:19,2019.11.02,第三週
4位,槍擊士,浮雲?,00:22.0,2019.11.02 02:12:21,2019.11.02,第三週
4位,弓箭手,冷??,00:23.90,2019.10.31 21:02:29,2019.11.02,第三週
4位,力士,人彘?,00:25.70,2019.11.01 23:37:47,2019.11.02,第三週
4位,乾坤士,?小肥耿,00:34.20,2019.11.01 04:03:28,2019.11.02,第三週
4位,刺客,?凜,00:35.10,2019.10.30 19:57:22,2019.11.02,第三週
5位,劍士,緋穆晨芯?,00:11.40,2019.10.30 23:17:12,2019.11.02,第三週
5位,拳士,蛤仔精,00:12.70,2019.10.31 18:43:32,2019.11.02,第三週
5位,鬥士,?波克比,00:14.10,2019.10.30 22:48:24,2019.11.02,第三週
5位,氣功士,HanShuang,00:16.0,2019.11.02 00:51:58,2019.11.02,第三週
5位,咒術師,小心我丟你,00:16.40,2019.11.01 18:05:15,2019.11.02,第三週
5位,槍擊士,Woof?,00:22.30,2019.11.02 00:07:51,2019.11.02,第三週
5位,燐劍士,磪有情,00:23.0,2019.10.30 23:47:48,2019.11.02,第三週
5位,召喚師,神龍?,00:23.90,2019.10.31 22:06:56,2019.11.02,第三週
5位,弓箭手,?拉媞琺,00:25.10,2019.11.01 18:45:10,2019.11.02,第三週
5位,力士,安徘?,00:29.10,2019.10.30 13:45:17,2019.11.02,第三週
5位,乾坤士,桂明香,00:34.50,2019.10.30 15:57:19,2019.11.02,第三週
5位,刺客,狄世,00:37.90,2019.11.02 02:51:10,2019.11.02,第三週
6位,劍士,Sazabi,00:12.50,2019.10.30 20:43:26,2019.11.02,第三週
6位,拳士,金木涼,00:13.60,2019.10.31 23:21:13,2019.11.02,第三週
6位,鬥士,祤鷹,00:14.90,2019.11.01 19:53:43,2019.11.02,第三週
6位,氣功士,空拍,00:17.50,2019.10.30 11:49:24,2019.11.02,第三週
