名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,召喚師,?小肥蜂,00:06.30,2019.10.31 01:20:30,2019.10.31,第三週
1位,弓箭手,未羽?,00:07.60,2019.10.30 21:58:25,2019.10.31,第三週
1位,劍士,恍惚?,00:08.30,2019.10.30 21:43:20,2019.10.31,第三週
1位,鬥士,豆子?,00:10.70,2019.10.31 00:06:46,2019.10.31,第三週
1位,拳士,?那個澄,00:11.70,2019.10.30 14:09:09,2019.10.31,第三週
1位,氣功士,銀鍠朱武?,00:12.0,2019.10.30 11:35:19,2019.10.31,第三週
1位,咒術師,?驀回首,00:12.20,2019.10.30 18:56:49,2019.10.31,第三週
1位,燐劍士,喬寶?,00:17.40,2019.10.30 23:17:30,2019.10.31,第三週
1位,力士,?小肥黑,00:17.70,2019.10.30 19:06:04,2019.10.31,第三週
1位,槍擊士,Rafutaria,00:17.90,2019.10.30 21:34:48,2019.10.31,第三週
1位,乾坤士,?莓果戀,00:29.20,2019.10.30 23:28:22,2019.10.31,第三週
1位,刺客,緋紅之影,00:29.60,2019.10.31 01:04:41,2019.10.31,第三週
2位,劍士,葛清霏,00:09.70,2019.10.31 00:01:18,2019.10.31,第三週
2位,鬥士,鋼劍解師傅,00:12.0,2019.10.30 11:29:36,2019.10.31,第三週
2位,拳士,錫蘭,00:12.20,2019.10.31 00:12:03,2019.10.31,第三週
2位,氣功士,Bauhinia,00:12.70,2019.10.30 11:52:50,2019.10.31,第三週
2位,召喚師,乖乖泡泡糖,00:13.30,2019.10.31 02:31:19,2019.10.31,第三週
2位,弓箭手,漓晞,00:13.80,2019.10.30 19:16:25,2019.10.31,第三週
2位,咒術師,名雪喵喵,00:16.0,2019.10.30 12:02:04,2019.10.31,第三週
2位,力士,妃?,00:20.20,2019.10.30 19:22:48,2019.10.31,第三週
2位,槍擊士,?小肥袋,00:20.70,2019.10.30 15:57:30,2019.10.31,第三週
2位,燐劍士,磪有情,00:23.0,2019.10.30 23:47:48,2019.10.31,第三週
2位,乾坤士,多納太羅?啾,00:32.70,2019.10.30 22:14:11,2019.10.31,第三週
2位,刺客,?凜,00:35.10,2019.10.30 19:57:22,2019.10.31,第三週
3位,劍士,緋穆晨芯?,00:11.40,2019.10.30 23:17:12,2019.10.31,第三週
3位,鬥士,冰舞魅心?,00:12.10,2019.10.30 19:17:35,2019.10.31,第三週
3位,拳士,班尼菈,00:12.40,2019.10.31 00:06:12,2019.10.31,第三週
