名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,氣功士,蘇打冰?,00:04.50,2019.11.11 23:20:34,2019.11.13,第四週
1位,召喚師,?小肥蜂,00:04.90,2019.11.06 16:30:50,2019.11.13,第四週
1位,劍士,恍惚?,00:06.0,2019.11.10 20:16:09,2019.11.13,第四週
1位,弓箭手,未羽?,00:06.60,2019.11.13 00:47:11,2019.11.13,第四週
1位,燐劍士,翻滾喵,00:08.70,2019.11.07 01:22:45,2019.11.13,第四週
1位,鬥士,豆子?,00:10.10,2019.11.06 22:13:17,2019.11.13,第四週
1位,拳士,喧嘩,00:11.10,2019.11.13 03:08:27,2019.11.13,第四週
1位,咒術師,?驀回首,00:11.20,2019.11.08 19:14:07,2019.11.13,第四週
1位,槍擊士,蘇打綠?,00:12.20,2019.11.12 21:37:16,2019.11.13,第四週
1位,力士,?小肥黑,00:15.60,2019.11.13 03:10:01,2019.11.13,第四週
1位,刺客,浮生若夢?影,00:16.70,2019.11.07 05:15:58,2019.11.13,第四週
1位,乾坤士,?莓果戀,00:16.70,2019.11.13 00:29:34,2019.11.13,第四週
2位,氣功士,?滴滴,00:06.70,2019.11.08 21:35:44,2019.11.13,第四週
2位,劍士,葛清霏,00:07.10,2019.11.06 23:45:26,2019.11.13,第四週
2位,召喚師,魂牽夢縈?,00:07.70,2019.11.13 00:47:11,2019.11.13,第四週
2位,弓箭手,半夏?冰淇淋,00:10.70,2019.11.12 18:10:19,2019.11.13,第四週
2位,鬥士,鋼劍解師傅,00:10.90,2019.11.06 17:07:32,2019.11.13,第四週
2位,咒術師,?小肥玥,00:11.40,2019.11.09 13:49:06,2019.11.13,第四週
2位,拳士,錫蘭,00:11.40,2019.11.07 23:18:07,2019.11.13,第四週
2位,槍擊士,?小肥袋,00:12.20,2019.11.12 23:05:03,2019.11.13,第四週
2位,燐劍士,喬寶?,00:14.0,2019.11.09 23:14:04,2019.11.13,第四週
2位,力士,一把罩子龍,00:18.30,2019.11.13 02:11:19,2019.11.13,第四週
2位,乾坤士,不如獨樂,00:19.70,2019.11.12 21:12:59,2019.11.13,第四週
2位,刺客,米薩村,00:20.90,2019.11.10 19:58:01,2019.11.13,第四週
3位,氣功士,優媞奈,00:07.40,2019.11.11 02:51:24,2019.11.13,第四週
3位,劍士,月孤痕,00:07.40,2019.11.13 01:56:00,2019.11.13,第四週
3位,召喚師,米勒?,00:07.80,2019.11.10 21:02:33,2019.11.13,第四週
3位,弓箭手,叔叔的小三,00:11.0,2019.11.13 01:04:54,2019.11.13,第四週
3位,鬥士,?波克比,00:11.10,2019.11.12 22:45:32,2019.11.13,第四週
3位,拳士,?那個澄,00:11.60,2019.11.09 19:20:35,2019.11.13,第四週
3位,咒術師,小心我丟你,00:12.10,2019.11.11 22:18:41,2019.11.13,第四週
3位,槍擊士,Chu?玉米棒,00:13.30,2019.11.06 14:04:13,2019.11.13,第四週
3位,燐劍士,磪有情,00:14.60,2019.11.07 00:27:14,2019.11.13,第四週
3位,力士,妃?,00:19.70,2019.11.06 19:52:22,2019.11.13,第四週
3位,乾坤士,崔部長?,00:23.50,2019.11.07 00:16:27,2019.11.13,第四週
3位,刺客,?變隱龍,00:24.60,2019.11.12 23:35:42,2019.11.13,第四週
4位,劍士,?赤霄心,00:07.70,2019.11.12 11:46:20,2019.11.13,第四週
4位,召喚師,?艾比醬,00:08.30,2019.11.10 20:43:05,2019.11.13,第四週
4位,氣功士,銀鍠朱武?,00:09.30,2019.11.07 11:03:42,2019.11.13,第四週
4位,弓箭手,神?,00:11.10,2019.11.12 20:59:03,2019.11.13,第四週
4位,鬥士,祤鷹,00:11.20,2019.11.11 23:47:03,2019.11.13,第四週
4位,拳士,班尼菈,00:12.10,2019.11.08 03:16:24,2019.11.13,第四週
4位,咒術師,Jesus?,00:12.30,2019.11.09 14:58:52,2019.11.13,第四週
4位,槍擊士,Woof?,00:13.90,2019.11.12 01:25:12,2019.11.13,第四週
4位,燐劍士,?幻熾,00:14.70,2019.11.12 21:05:56,2019.11.13,第四週
4位,力士,八月中秋山林涼,00:20.70,2019.11.12 10:53:59,2019.11.13,第四週
4位,刺客,鬼迷神疑?,00:24.60,2019.11.13 01:17:54,2019.11.13,第四週
4位,乾坤士,蕭墨染,00:25.0,2019.11.12 22:27:33,2019.11.13,第四週
5位,劍士,?禘神祐,00:07.90,2019.11.06 18:30:01,2019.11.13,第四週
5位,召喚師,乖乖泡泡糖,00:09.40,2019.11.11 23:18:04,2019.11.13,第四週
5位,氣功士,HanShuang,00:10.40,2019.11.06 20:15:00,2019.11.13,第四週
5位,弓箭手,茶茶射妳,00:11.30,2019.11.12 22:45:00,2019.11.13,第四週
5位,鬥士,洛碧虛,00:11.50,2019.11.08 21:17:24,2019.11.13,第四週
5位,拳士,蛤仔精,00:12.60,2019.11.12 05:12:07,2019.11.13,第四週
5位,咒術師,菈菈唲,00:12.60,2019.11.12 22:12:13,2019.11.13,第四週
5位,槍擊士,英靈?,00:13.90,2019.11.12 23:27:10,2019.11.13,第四週
5位,燐劍士,星語雪碧,00:14.70,2019.11.12 23:08:05,2019.11.13,第四週
5位,力士,人彘?,00:21.40,2019.11.13 00:10:22,2019.11.13,第四週
5位,刺客,緋紅之影,00:25.10,2019.11.10 00:10:43,2019.11.13,第四週
5位,乾坤士,多納太羅?啾,00:26.90,2019.11.08 23:39:40,2019.11.13,第四週
6位,劍士,天眠,00:07.90,2019.11.07 19:47:58,2019.11.13,第四週
6位,召喚師,蘇打糖?,00:09.70,2019.11.08 03:07:45,2019.11.13,第四週
6位,氣功士,Bauhinia,00:10.80,2019.11.12 17:03:28,2019.11.13,第四週
6位,鬥士,冰舞魅心?,00:12.0,2019.11.06 19:20:59,2019.11.13,第四週
6位,弓箭手,漓晞,00:12.0,2019.11.13 03:15:58,2019.11.13,第四週
6位,拳士,Yeon誠,00:12.70,2019.11.12 21:09:40,2019.11.13,第四週
6位,咒術師,低調?睡?,00:12.80,2019.11.10 11:33:37,2019.11.13,第四週
6位,槍擊士,浮雲?,00:14.20,2019.11.13 03:49:47,2019.11.13,第四週
6位,燐劍士,?小黑糖,00:15.20,2019.11.06 13:34:16,2019.11.13,第四週
6位,力士,安徘?,00:21.40,2019.11.13 00:25:22,2019.11.13,第四週
6位,乾坤士,?小肥耿,00:27.50,2019.11.12 18:30:00,2019.11.13,第四週
6位,刺客,戕納,00:28.0,2019.11.12 13:46:17,2019.11.13,第四週
7位,劍士,君馬惠?,00:08.50,2019.11.11 23:06:14,2019.11.13,第四週
7位,召喚師,幸福伴身旁,00:10.60,2019.11.11 11:22:13,2019.11.13,第四週
7位,氣功士,芷芸?,00:10.90,2019.11.12 18:10:00,2019.11.13,第四週
7位,鬥士,鴻蒼?,00:12.20,2019.11.06 20:10:58,2019.11.13,第四週
7位,弓箭手,湧嵐,00:12.60,2019.11.12 00:46:28,2019.11.13,第四週
7位,拳士,義誠,00:12.80,2019.11.06 13:04:01,2019.11.13,第四週
7位,咒術師,ZUOAN?奶茶,00:13.10,2019.11.12 21:52:09,2019.11.13,第四週
7位,燐劍士,鮮奶茶?,00:15.20,2019.11.12 23:29:02,2019.11.13,第四週
7位,槍擊士,Murie,00:16.20,2019.11.07 02:35:21,2019.11.13,第四週
7位,力士,胖胖空,00:22.70,2019.11.12 19:16:10,2019.11.13,第四週
7位,乾坤士,桂明香,00:28.70,2019.11.12 15:13:18,2019.11.13,第四週
7位,刺客,?凜,00:28.90,2019.11.13 00:00:23,2019.11.13,第四週
8位,劍士,既分高下也決生死,00:08.60,2019.11.10 23:35:47,2019.11.13,第四週
8位,召喚師,闇扉,00:10.70,2019.11.12 13:36:45,2019.11.13,第四週
8位,氣功士,赤淚,00:12.20,2019.11.12 21:04:39,2019.11.13,第四週
8位,鬥士,別讓羊叔叔輸出,00:12.90,2019.11.12 19:56:57,2019.11.13,第四週
8位,弓箭手,阿爾特彌斯,00:13.10,2019.11.13 01:28:19,2019.11.13,第四週
8位,拳士,金木涼,00:13.10,2019.11.08 12:00:24,2019.11.13,第四週
8位,咒術師,宓宣,00:13.80,2019.11.08 16:55:27,2019.11.13,第四週
8位,燐劍士,?蓋歐卡,00:15.60,2019.11.06 12:53:04,2019.11.13,第四週
8位,槍擊士,古洛,00:16.40,2019.11.12 21:08:52,2019.11.13,第四週
8位,力士,奎馗,00:22.90,2019.11.09 20:24:46,2019.11.13,第四週
8位,刺客,兔寶?,00:30.10,2019.11.08 17:37:54,2019.11.13,第四週
8位,乾坤士,Lukaaaa,00:31.90,2019.11.13 02:33:08,2019.11.13,第四週
9位,劍士,云淡?,00:08.70,2019.11.08 19:11:20,2019.11.13,第四週
9位,召喚師,蘿水三千只取一瓢飲,00:11.0,2019.11.11 20:04:41,2019.11.13,第四週
9位,氣功士,昊晟,00:12.50,2019.11.12 20:50:43,2019.11.13,第四週
