名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,召喚師,?小肥蜂,00:05.80,2019.10.31 13:58:27,2019.11.01,第三週
1位,弓箭手,未羽?,00:07.60,2019.10.30 21:58:25,2019.11.01,第三週
1位,劍士,恍惚?,00:08.30,2019.10.30 21:43:20,2019.11.01,第三週
1位,鬥士,豆子?,00:10.70,2019.10.31 00:06:46,2019.11.01,第三週
1位,拳士,?那個澄,00:11.70,2019.10.30 14:09:09,2019.11.01,第三週
1位,氣功士,銀鍠朱武?,00:12.0,2019.10.30 11:35:19,2019.11.01,第三週
1位,咒術師,?驀回首,00:12.20,2019.10.30 18:56:49,2019.11.01,第三週
1位,燐劍士,翻滾喵,00:12.70,2019.10.31 22:26:12,2019.11.01,第三週
1位,力士,?小肥黑,00:17.70,2019.10.30 19:06:04,2019.11.01,第三週
1位,槍擊士,Rafutaria,00:17.90,2019.10.30 21:34:48,2019.11.01,第三週
1位,乾坤士,?莓果戀,00:24.30,2019.10.31 15:28:32,2019.11.01,第三週
1位,刺客,緋紅之影,00:25.10,2019.11.01 04:16:56,2019.11.01,第三週
2位,劍士,葛清霏,00:09.70,2019.10.31 00:01:18,2019.11.01,第三週
2位,鬥士,鋼劍解師傅,00:12.0,2019.10.30 11:29:36,2019.11.01,第三週
2位,拳士,錫蘭,00:12.0,2019.11.01 00:04:16,2019.11.01,第三週
2位,氣功士,Bauhinia,00:12.30,2019.10.31 10:40:02,2019.11.01,第三週
2位,召喚師,乖乖泡泡糖,00:13.30,2019.10.31 02:31:19,2019.11.01,第三週
2位,弓箭手,漓晞,00:13.80,2019.10.30 19:16:25,2019.11.01,第三週
2位,咒術師,?小肥玥,00:13.80,2019.10.31 23:23:25,2019.11.01,第三週
2位,燐劍士,喬寶?,00:16.0,2019.10.31 23:03:43,2019.11.01,第三週
2位,力士,妃?,00:20.20,2019.10.30 19:22:48,2019.11.01,第三週
2位,槍擊士,?小肥袋,00:20.70,2019.10.30 15:57:30,2019.11.01,第三週
2位,乾坤士,不如獨樂,00:30.20,2019.11.01 00:31:06,2019.11.01,第三週
2位,刺客,?變隱龍,00:34.80,2019.10.31 23:55:41,2019.11.01,第三週
3位,劍士,夕晴,00:09.80,2019.10.31 19:26:24,2019.11.01,第三週
3位,鬥士,冰舞魅心?,00:12.10,2019.10.30 19:17:35,2019.11.01,第三週
3位,拳士,班尼菈,00:12.40,2019.10.31 00:06:12,2019.11.01,第三週
3位,召喚師,魂牽夢縈?,00:15.90,2019.10.31 18:06:40,2019.11.01,第三週
3位,咒術師,名雪喵喵,00:16.0,2019.10.30 12:02:04,2019.11.01,第三週
3位,氣功士,空拍,00:17.50,2019.10.30 11:49:24,2019.11.01,第三週
3位,燐劍士,?蓋歐卡,00:17.80,2019.10.31 19:45:14,2019.11.01,第三週
3位,弓箭手,茶茶射妳,00:20.80,2019.10.30 22:50:57,2019.11.01,第三週
3位,力士,八月中秋山林涼,00:25.10,2019.10.31 14:11:48,2019.11.01,第三週
3位,槍擊士,浮雲?,00:29.30,2019.10.31 00:15:49,2019.11.01,第三週
3位,乾坤士,多納太羅?啾,00:32.40,2019.10.31 22:37:20,2019.11.01,第三週
3位,刺客,?凜,00:35.10,2019.10.30 19:57:22,2019.11.01,第三週
4位,劍士,緋穆晨芯?,00:11.40,2019.10.30 23:17:12,2019.11.01,第三週
4位,拳士,義誠,00:12.70,2019.10.31 03:51:27,2019.11.01,第三週
