名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,召喚師,?小肥蜂,00:06.20,2019.10.16 19:14:50,2019.10.18,第一週
1位,劍士,恍惚?,00:07.10,2019.10.16 23:25:21,2019.10.18,第一週
1位,弓箭手,未羽?,00:08.80,2019.10.17 02:49:19,2019.10.18,第一週
1位,氣功士,銀鍠朱武?,00:09.0,2019.10.17 10:12:34,2019.10.18,第一週
1位,鬥士,豆子?,00:10.90,2019.10.17 00:12:37,2019.10.18,第一週
1位,拳士,喧嘩,00:11.20,2019.10.17 10:07:37,2019.10.18,第一週
1位,燐劍士,翻滾喵,00:12.50,2019.10.17 03:47:01,2019.10.18,第一週
1位,咒術師,?驀回首,00:12.70,2019.10.16 17:32:04,2019.10.18,第一週
1位,槍擊士,浮雲?,00:14.70,2019.10.17 04:59:13,2019.10.18,第一週
1位,力士,?小肥黑,00:14.80,2019.10.16 21:22:48,2019.10.18,第一週
1位,刺客,浮生若夢?影,00:21.0,2019.10.17 04:58:25,2019.10.18,第一週
1位,乾坤士,大哥哥?,00:31.80,2019.10.18 01:27:45,2019.10.18,第一週
2位,劍士,葛清霏,00:09.70,2019.10.18 01:38:58,2019.10.18,第一週
2位,弓箭手,漓晞,00:11.60,2019.10.17 02:32:08,2019.10.18,第一週
2位,鬥士,?波克比,00:11.80,2019.10.16 11:47:34,2019.10.18,第一週
2位,拳士,錫蘭,00:12.10,2019.10.17 00:04:14,2019.10.18,第一週
2位,氣功士,?滴滴,00:12.70,2019.10.16 21:08:12,2019.10.18,第一週
2位,燐劍士,喬寶?,00:13.50,2019.10.17 01:30:56,2019.10.18,第一週
2位,咒術師,小心我丟你,00:14.70,2019.10.17 14:06:21,2019.10.18,第一週
2位,召喚師,米勒?,00:15.20,2019.10.17 15:18:32,2019.10.18,第一週
2位,槍擊士,古洛,00:17.30,2019.10.16 15:13:16,2019.10.18,第一週
2位,力士,妃?,00:20.70,2019.10.16 13:39:20,2019.10.18,第一週
2位,刺客,米薩村,00:25.80,2019.10.18 01:20:30,2019.10.18,第一週
2位,乾坤士,?莓果戀,00:32.0,2019.10.16 15:40:07,2019.10.18,第一週
3位,劍士,Dimly?彌,00:10.10,2019.10.17 01:55:41,2019.10.18,第一週
3位,拳士,?那個澄,00:12.40,2019.10.16 12:23:54,2019.10.18,第一週
3位,弓箭手,半夏?冰淇淋,00:12.80,2019.10.18 04:39:10,2019.10.18,第一週
3位,氣功士,Bauhinia,00:13.10,2019.10.17 19:34:58,2019.10.18,第一週
3位,鬥士,洛碧虛,00:13.50,2019.10.17 19:11:56,2019.10.18,第一週
3位,咒術師,侜張,00:14.70,2019.10.17 21:20:07,2019.10.18,第一週
3位,召喚師,闇扉,00:15.80,2019.10.18 04:23:21,2019.10.18,第一週
3位,燐劍士,?蓋歐卡,00:17.50,2019.10.17 20:09:13,2019.10.18,第一週
3位,槍擊士,你媽?,00:20.30,2019.10.17 17:02:40,2019.10.18,第一週
3位,力士,八月中秋山林涼,00:24.0,2019.10.16 12:09:18,2019.10.18,第一週
3位,刺客,緋紅之影,00:27.80,2019.10.17 23:53:20,2019.10.18,第一週
3位,乾坤士,不如獨樂,00:33.10,2019.10.17 23:00:59,2019.10.18,第一週
4位,劍士,?禘神祐,00:10.10,2019.10.17 17:56:40,2019.10.18,第一週
4位,拳士,班尼菈,00:13.10,2019.10.17 15:51:00,2019.10.18,第一週
4位,弓箭手,?拉媞琺,00:13.60,2019.10.16 22:13:19,2019.10.18,第一週
4位,鬥士,鋼劍解師傅,00:14.50,2019.10.17 17:22:01,2019.10.18,第一週
4位,咒術師,ZUOAN?奶茶,00:15.20,2019.10.18 01:56:31,2019.10.18,第一週
4位,氣功士,赤淚,00:15.50,2019.10.16 23:11:05,2019.10.18,第一週
4位,槍擊士,英靈?,00:21.40,2019.10.18 01:30:44,2019.10.18,第一週
4位,燐劍士,?小黑糖,00:21.50,2019.10.18 01:14:56,2019.10.18,第一週
4位,召喚師,魂牽夢縈?,00:21.80,2019.10.17 17:42:33,2019.10.18,第一週
4位,力士,一把罩子龍,00:27.10,2019.10.17 01:54:23,2019.10.18,第一週
4位,刺客,?變隱龍,00:28.50,2019.10.16 23:56:49,2019.10.18,第一週
4位,乾坤士,多納太羅?啾,00:33.60,2019.10.16 23:30:44,2019.10.18,第一週
5位,劍士,夕晴,00:10.60,2019.10.17 22:25:36,2019.10.18,第一週
5位,拳士,Yeon誠,00:13.20,2019.10.17 18:14:41,2019.10.18,第一週
5位,鬥士,孀笙,00:14.80,2019.10.16 17:16:15,2019.10.18,第一週
