名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,召喚師,?小肥蜂,00:05.80,2019.10.31 13:58:27,2019.11.06,第三週
1位,氣功士,蘇打冰?,00:07.40,2019.11.02 01:26:21,2019.11.06,第三週
1位,弓箭手,未羽?,00:07.60,2019.10.30 21:58:25,2019.11.06,第三週
1位,劍士,恍惚?,00:08.30,2019.10.30 21:43:20,2019.11.06,第三週
1位,燐劍士,翻滾喵,00:10.40,2019.11.02 02:42:50,2019.11.06,第三週
1位,鬥士,豆子?,00:10.70,2019.10.31 00:06:46,2019.11.06,第三週
1位,拳士,?那個澄,00:11.40,2019.11.04 08:22:55,2019.11.06,第三週
1位,咒術師,?驀回首,00:12.20,2019.10.30 18:56:49,2019.11.06,第三週
1位,槍擊士,Rafutaria,00:16.0,2019.11.02 21:31:18,2019.11.06,第三週
1位,刺客,浮生若夢?影,00:16.90,2019.11.04 09:33:37,2019.11.06,第三週
1位,力士,?小肥黑,00:17.70,2019.10.30 19:06:04,2019.11.06,第三週
1位,乾坤士,?莓果戀,00:24.30,2019.10.31 15:28:32,2019.11.06,第三週
2位,氣功士,?滴滴,00:07.90,2019.11.01 17:02:48,2019.11.06,第三週
2位,劍士,既分高下也決生死,00:08.80,2019.11.03 23:43:13,2019.11.06,第三週
2位,拳士,錫蘭,00:12.0,2019.11.01 00:04:16,2019.11.06,第三週
2位,鬥士,鋼劍解師傅,00:12.0,2019.10.30 11:29:36,2019.11.06,第三週
2位,弓箭手,漓晞,00:12.10,2019.11.01 16:15:05,2019.11.06,第三週
2位,召喚師,乖乖泡泡糖,00:13.0,2019.11.03 02:14:18,2019.11.06,第三週
2位,咒術師,菈菈唲,00:13.30,2019.11.04 21:52:49,2019.11.06,第三週
2位,燐劍士,?蓋歐卡,00:15.60,2019.11.03 01:35:38,2019.11.06,第三週
2位,槍擊士,英靈?,00:16.50,2019.11.03 15:17:45,2019.11.06,第三週
2位,力士,妃?,00:20.20,2019.10.30 19:22:48,2019.11.06,第三週
2位,刺客,緋紅之影,00:24.50,2019.11.02 01:02:01,2019.11.06,第三週
2位,乾坤士,不如獨樂,00:24.50,2019.11.06 00:41:51,2019.11.06,第三週
3位,氣功士,銀鍠朱武?,00:08.40,2019.11.01 10:15:33,2019.11.06,第三週
3位,劍士,?禘神祐,00:08.80,2019.11.05 22:35:40,2019.11.06,第三週
3位,鬥士,冰舞魅心?,00:12.10,2019.10.30 19:17:35,2019.11.06,第三週
3位,拳士,班尼菈,00:12.40,2019.10.31 00:06:12,2019.11.06,第三週
3位,弓箭手,叔叔的小三,00:12.60,2019.11.06 00:34:31,2019.11.06,第三週
3位,召喚師,?艾比醬,00:13.80,2019.11.04 16:15:59,2019.11.06,第三週
3位,咒術師,?小肥玥,00:13.80,2019.10.31 23:23:25,2019.11.06,第三週
3位,燐劍士,喬寶?,00:16.0,2019.10.31 23:03:43,2019.11.06,第三週
3位,槍擊士,你媽?,00:19.90,2019.11.04 00:43:46,2019.11.06,第三週
3位,力士,一把罩子龍,00:21.90,2019.11.04 01:49:28,2019.11.06,第三週
