6位,拳士,Yeon誠,00:13.20,2019.10.17 18:14:41,2019.10.22,第一週
6位,氣功士,赤淚,00:15.50,2019.10.16 23:11:05,2019.10.22,第一週
6位,咒術師,Jesus?,00:15.60,2019.10.21 17:43:36,2019.10.22,第一週
6位,槍擊士,?LiK,00:19.70,2019.10.20 04:18:12,2019.10.22,第一週
6位,召喚師,乖乖泡泡糖,00:22.40,2019.10.20 04:53:27,2019.10.22,第一週
6位,弓箭手,冷??,00:23.0,2019.10.19 11:03:37,2019.10.22,第一週
6位,燐劍士,Treasure?麥,00:26.30,2019.10.18 10:26:22,2019.10.22,第一週
6位,力士,奎馗,00:29.0,2019.10.21 03:41:20,2019.10.22,第一週
6位,乾坤士,即白,00:32.90,2019.10.19 02:26:47,2019.10.22,第一週
6位,刺客,兔寶?,00:33.50,2019.10.17 12:16:40,2019.10.22,第一週
7位,劍士,?赤霄心,00:10.40,2019.10.19 08:22:46,2019.10.22,第一週
7位,鬥士,別讓羊叔叔輸出,00:13.10,2019.10.19 15:36:24,2019.10.22,第一週
7位,拳士,蛤仔精,00:13.60,2019.10.17 21:32:30,2019.10.22,第一週
7位,咒術師,低調?睡?,00:15.80,2019.10.20 17:20:48,2019.10.22,第一週
7位,氣功士,空拍,00:16.0,2019.10.19 16:43:55,2019.10.22,第一週
7位,槍擊士,三發裝子彈,00:20.0,2019.10.18 23:09:19,2019.10.22,第一週
7位,召喚師,點心?,00:23.10,2019.10.19 13:25:28,2019.10.22,第一週
7位,燐劍士,HunterMNY,00:27.50,2019.10.16 17:15:22,2019.10.22,第一週
7位,弓箭手,叔叔的小三,00:28.0,2019.10.18 13:52:06,2019.10.22,第一週
7位,力士,安徘?,00:29.60,2019.10.21 14:56:52,2019.10.22,第一週
7位,乾坤士,桂明香,00:34.70,2019.10.22 04:49:58,2019.10.22,第一週
7位,刺客,狄世,00:40.60,2019.10.20 01:37:23,2019.10.22,第一週
8位,劍士,鬼綾霄,00:10.80,2019.10.19 17:45:10,2019.10.22,第一週
8位,拳士,得罪了方丈還敢跑,00:14.50,2019.10.19 01:47:26,2019.10.22,第一週
8位,鬥士,孀笙,00:14.80,2019.10.16 17:16:15,2019.10.22,第一週
8位,咒術師,名雪喵喵,00:16.0,2019.10.18 19:46:56,2019.10.22,第一週
8位,氣功士,HanShuang,00:16.40,2019.10.22 03:54:16,2019.10.22,第一週
8位,槍擊士,你媽?,00:20.30,2019.10.17 17:02:40,2019.10.22,第一週
8位,召喚師,神龍?,00:23.40,2019.10.18 21:51:55,2019.10.22,第一週
8位,燐劍士,小狂妄?,00:27.50,2019.10.19 18:42:45,2019.10.22,第一週
8位,弓箭手,神?,00:29.50,2019.10.22 03:29:45,2019.10.22,第一週
